level, accuracy, visists, branching, estimates, time, time min_max, used models,bfsAverage,estAverage
epsilon04 LineAlongPoints,0.98,508.0,1.07 - 1.00 - 1.00,57 - 106 - 175,0.13,0.12 / 0.45,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 980},1.02,112.67
epsilon05 LineBetweenPoints,0.96,906.5,1.13 - 1.31 - 1.10 - 2.07 - 2.34,57 - 106 - 175 - 267 - 385,0.23,0.17 / 3.81,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 1447},1.59,198.00
epsilon06 Hash,0.83,1111.0,1.66 - 1.21 - 1.32 - 1.59 - 1.50,532 - 711 - 925 - 1177 - 1470,0.31,0.12 / 2.63,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 865},1.46,963.00
epsilon07 ShiftAngle,0.98,507.5,1.00 - 1.00 - 1.13,267 - 385 - 532,0.15,0.13 / 0.31,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 980},1.04,394.67
epsilon08 EquidistantParallel,0.90,1276.0,1.42 - 1.04 - 2.95 - 2.06 - 2.02 - 2.30 - 2.48,175 - 267 - 385 - 532 - 711 - 925 - 1177,0.36,0.06 / 16.97,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 942},2.04,596.00
epsilon09 SquareAboutCircle,0.94,1466.0,0.98 - 1.00 - 1.03 - 0.96 - 1.00 - 1.00 - 0.86 - 1.00,267 - 385 - 532 - 711 - 925 - 1177 - 1470 - 1807,0.40,0.06 / 0.53,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 2821},0.98,909.25
epsilon10 SquareInSquare,0.98,9174.0,1.59 - 1.04 - 1.02 - 1.07 - 1.15 - 1.37 - 2.58 - 2.23 - 1.95 - 1.77 - 1.68,711 - 925 - 1177 - 1470 - 1807 - 2191 - 2625 - 3112 - 3655 - 4257 - 4921,2.41,0.13 / 683.29,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 2930},1.59,2441.00
epsilon11 CircleInOutSquare,1.00,750.0,1.00 - 1.00 - 1.00,532 - 711 - 925,0.19,0.17 / 0.21,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 1500},1.00,722.67
epsilon12 HexagonBySide,0.99,1776.0,1.00 - 1.00 - 1.00 - 1.00 - 1.00 - 1.00 - 1.01 - 1.55 - 0.71 - 0.67 - 0.38 - 0.67 - 0.50,57 - 106 - 175 - 267 - 385 - 532 - 711 - 925 - 1177 - 1470 - 1807 - 2191 - 2625,0.45,0.39 / 1.53,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 3458},0.88,956.00
zeta01 PtSymmetry,0.47,3609.5,1.90 - 1.17 - 1.57 - 0.94 - 1.08 - 1.12 - 1.40,106 - 175 - 267 - 385 - 532 - 711 - 925,0.93,0.37 / 5.56,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 1192},1.31,443.00
zeta02 MirrorSeq,0.23,6562.0,1.72 - 1.15 - 1.15 - 1.11 - 1.04 - 0.88 - 1.21 - 1.73 - 1.97 - 2.02,267 - 385 - 532 - 711 - 925 - 1177 - 1470 - 1807 - 2191 - 2625,1.75,0.19 / 241.03,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 618},1.40,1209.00
zeta03 ShiftSegment,0.99,1006.5,1.16 - 1.15 - 1.01 - 1.00 - 0.60 - 2.00,385 - 532 - 711 - 925 - 1177 - 1470,0.25,0.24 / 0.83,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 1984},1.15,866.67
zeta04 GivenAngleBisector,0.96,2265.5,1.70 - 2.55 - 1.02 - 1.08 - 1.44 - 1.41 - 1.28 - 1.18 - 1.18,175 - 267 - 385 - 532 - 711 - 925 - 1177 - 1470 - 1807,0.59,0.25 / 15.30,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 1947},1.43,827.67
zeta05 CircleByRadius,0.92,1130.5,1.11 - 1.05 - 1.05 - 1.08 - 1.87 - 2.15,106 - 175 - 267 - 385 - 532 - 711,0.30,0.06 / 2.03,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 1850},1.39,362.67
zeta06 TCircleByRadius,1.00,250.5,1.00,28,0.07,0.07 / 0.16,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 498},1.00,28.00
zeta07 TranslateSegment,0.53,1172.5,1.00 - 1.01 - 1.03 - 1.21 - 1.27,134 - 230 - 363 - 539 - 764,0.31,0.08 / 2.71,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 1035},1.10,406.00
zeta08 TriangleBySides,0.96,1119.0,2.06 - 1.26 - 0.94 - 1.01 - 1.07 - 0.95,2834 - 3479 - 4215 - 5048 - 5984 - 7029,0.34,0.26 / 1.93,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 1919},1.22,4764.83
zeta09 ParallelogramBySP,0.88,4095.5,1.00 - 1.52 - 1.36 - 1.56 - 1.79 - 2.39 - 2.56,134 - 230 - 363 - 539 - 764 - 1044 - 1385,1.21,0.06 / 50.63,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 2290},1.74,637.00
zeta10 9PointCircle,1.00,1251.0,1.24 - 1.02 - 1.44 - 2.25 - 0.99,363 - 539 - 764 - 1044 - 1385,0.31,0.12 / 0.45,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 2490},1.39,819.00
zeta11 4SymmetricLines,0.95,855.5,1.91 - 0.97 - 0.99 - 1.11 - 0.92 - 0.89 - 0.84 - 1.00,539 - 764 - 1044 - 1385 - 1793 - 2274 - 2834 - 3479,0.24,0.16 / 3.88,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 1434},1.08,1764.00
zeta12 ParallelogramBy3Midpoints,0.77,14978.5,1.00 - 0.99 - 1.03 - 1.54 - 1.23 - 1.55 - 2.04 - 2.97 - 3.16 - 3.23,69 - 134 - 230 - 363 - 539 - 764 - 1044 - 1385 - 1793 - 2274,4.58,0.16 / 537.52,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 2725},1.87,859.50
